artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,uri_count,rank_mean,lowest_rank,highest_rank,rank_median,streams_mean,streams_max,streams_min,streams_median,streams_sum,first_date,last_date
Migos,Bad and Boujee (feat. Lil Uzi Vert),0.927,0.665,11.0,-5.313,1.0,0.244,0.061,0.0,0.123,0.175,127.076,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,343150.0,4.0,429.0,71.15151515151516,199.0,1.0,71.0,524603.4172494173,1823391.0,179173.0,309115.0,225054866.0,2017-01-01,2018-03-11
Drake,Fake Love,0.928,0.481,9.0,-9.35,0.0,0.287,0.105,0.0,0.176,0.613,134.007,spotify:track:343YBumqHu19cGoGARUTsd,210937.0,4.0,455.0,96.4967032967033,200.0,2.0,96.0,422185.0483516484,1428332.0,170122.0,249886.0,192094197.0,2017-01-01,2018-06-29
The Weeknd,Starboy,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,spotify:track:7MXVkk9YMctZqd1Srtv4MB,230453.0,4.0,464.0,103.70258620689656,200.0,3.0,101.5,352759.2327586207,1134858.0,167732.0,248945.0,163680284.0,2017-01-01,2020-03-21
The Chainsmokers,Closer,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0,536.0,110.76492537313433,200.0,4.0,119.0,321925.31902985077,1010492.0,168921.0,245003.0,172551971.0,2017-01-01,2020-01-01
Rae Sremmurd,Black Beatles,0.794,0.632,0.0,-6.163,1.0,0.0649,0.142,0.0,0.128,0.355,145.926,spotify:track:6fujklziTHa8uoM5OQSfIo,291893.0,4.0,240.0,91.3625,196.0,5.0,101.0,349239.4625,874289.0,153349.0,267720.0,83817471.0,2017-01-01,2017-09-24
DRAM,Broccoli (feat. Lil Yachty),0.886,0.525,8.0,-7.39,1.0,0.132,0.236,0.0,0.057,0.708,145.99,spotify:track:0O5fLzF9V8FCe0QXAi04ov,225205.0,4.0,393.0,98.19083969465649,200.0,6.0,88.0,313320.3358778626,763259.0,171218.0,267997.0,123134892.0,2017-01-01,2018-03-11
Drake,One Dance,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.00188,0.329,0.37,103.967,spotify:track:1zi7xx7UVEFkmKfv06H8x0,173987.0,4.0,498.0,122.01004016064257,200.0,7.0,130.0,265040.3975903614,753150.0,155439.0,229272.0,131990118.0,2017-01-01,2020-01-01
Aminé,Caroline,0.941,0.335,5.0,-10.179,0.0,0.505,0.17,0.0,0.262,0.707,120.041,spotify:track:5hTpBe8h35rJ67eAWHQsJx,209640.0,4.0,389.0,99.52699228791774,199.0,6.0,99.0,330106.47043701797,835200.0,167653.0,250387.0,128411417.0,2017-01-01,2018-02-10
DJ Snake,Let Me Love You,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0,151.0,114.47019867549669,198.0,9.0,115.0,264830.73509933776,690483.0,158777.0,226583.0,39989441.0,2017-01-01,2018-07-04
Big Sean,Bounce Back,0.78,0.575,1.0,-5.628,0.0,0.139,0.106,0.0,0.129,0.273,81.502,spotify:track:0SGkqnVQo9KPytSri1H6cF,222360.0,4.0,468.0,77.1068376068376,200.0,3.0,77.5,445787.6901709402,1390055.0,173309.0,306814.5,208628639.0,2017-01-01,2018-04-19
